rank,song_name,singer,album_img_url,album_url
1위,That That (prod. & feat. SUGA of BTS),싸이 (PSY),https://cdnimg.melon.co.kr/cm2/album/images/109/37/474/10937474_20220428225312_500.jpg,https://www.melon.com/album/detail.htm?albumId=10937474
2위,TOMBOY,(여자)아이들,https://cdnimg.melon.co.kr/cm2/album/images/108/90/384/10890384_20220314111504_500.jpg,https://www.melon.com/album/detail.htm?albumId=10890384
3위,LOVE DIVE,IVE (아이브),https://cdnimg.melon.co.kr/cm2/album/images/109/09/179/10909179_20220405103521_500.jpg,https://www.melon.com/album/detail.htm?albumId=10909179
4위,사랑인가 봐,멜로망스,https://cdnimg.melon.co.kr/cm2/album/images/108/71/162/10871162_20220217162422_500.jpg,https://www.melon.com/album/detail.htm?albumId=10871162
5위,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),https://cdnimg.melon.co.kr/cm2/album/images/109/08/834/10908834_20220404174407_500.jpg,https://www.melon.com/album/detail.htm?albumId=10908834
6위,사랑은 늘 도망가,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/107/35/654/10735654_20211008114339_500.jpg,https://www.melon.com/album/detail.htm?albumId=10735654
7위,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),https://cdnimg.melon.co.kr/cm2/album/images/109/25/762/10925762_20220419152007_500.jpg,https://www.melon.com/album/detail.htm?albumId=10925762
8위,우리들의 블루스,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.melon.com/album/detail.htm?albumId=10923444
9위,나의 X에게,경서,https://cdnimg.melon.co.kr/cm2/album/images/109/29/486/10929486_20220422151852_500.jpg,https://www.melon.com/album/detail.htm?albumId=10929486
10위,다시 만날 수 있을까,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.melon.com/album/detail.htm?albumId=10923444
11위,LOVE me,BE'O (비오),https://cdnimg.melon.co.kr/cm2/album/images/109/16/904/10916904_20220412101049_500.jpg,https://www.melon.com/album/detail.htm?albumId=10916904
12위,Feel My Rhythm,Red Velvet (레드벨벳),https://cdnimg.melon.co.kr/cm2/album/images/108/94/554/10894554_20220321100622_500.jpg,https://www.melon.com/album/detail.htm?albumId=10894554
13위,FEARLESS,LE SSERAFIM (르세라핌),https://cdnimg.melon.co.kr/cm2/album/images/109/39/458/10939458_20220502123814_500.jpg,https://www.melon.com/album/detail.htm?albumId=10939458
14위,취중고백,김민석 (멜로망스),https://cdnimg.melon.co.kr/cm2/album/images/108/16/959/10816959_20211217144957_500.jpg,https://www.melon.com/album/detail.htm?albumId=10816959
15위,GANADARA (Feat. 아이유),박재범,https://cdnimg.melon.co.kr/cm2/album/images/108/89/981/10889981_20220311110820_500.jpg,https://www.melon.com/album/detail.htm?albumId=10889981
16위,이제 나만 믿어요,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/104/12/319/10412319_20200403103006_500.jpg,https://www.melon.com/album/detail.htm?albumId=10412319
17위,HOT,세븐틴,https://cdnimg.melon.co.kr/cm2/album/images/109/22/231/10922231_20220527120653_500.jpg,https://www.melon.com/album/detail.htm?albumId=10922231
18위,무지개,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.melon.com/album/detail.htm?albumId=10923444
19위,ZOOM,제시 (Jessi),https://cdnimg.melon.co.kr/cm2/album/images/109/18/269/10918269_20220413101153_500.jpg,https://www.melon.com/album/detail.htm?albumId=10918269
20위,아버지,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.melon.com/album/detail.htm?albumId=10923444
21위,Beatbox,NCT DREAM,https://cdnimg.melon.co.kr/cm2/album/images/109/69/893/10969893_20220530105316_500.jpg,https://www.melon.com/album/detail.htm?albumId=10969893
22위,신호등,이무진,https://cdnimg.melon.co.kr/cm2/album/images/106/07/796/10607796_20210513201807_500.jpg,https://www.melon.com/album/detail.htm?albumId=10607796
23위,INVU,태연 (TAEYEON),https://cdnimg.melon.co.kr/cm2/album/images/108/63/559/10863559_20220214160739_500.jpg,https://www.melon.com/album/detail.htm?albumId=10863559
24위,손이 참 곱던 그대,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.melon.com/album/detail.htm?albumId=10923444
25위,A bientot,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.melon.com/album/detail.htm?albumId=10923444
26위,다정히 내 이름을 부르면,경서예지,https://cdnimg.melon.co.kr/cm2/album/images/106/10/525/10610525_20210518143433_500.jpg,https://www.melon.com/album/detail.htm?albumId=10610525
27위,Darl+ing,세븐틴,https://cdnimg.melon.co.kr/cm2/album/images/109/22/231/10922231_20220527120653_500.jpg,https://www.melon.com/album/detail.htm?albumId=10922231
28위,사랑해 진짜,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.melon.com/album/detail.htm?albumId=10923444
29위,듣고 싶을까,MSG워너비(M.O.M),https://cdnimg.melon.co.kr/cm2/album/images/108/80/544/10880544_20220225141002_500.jpg,https://www.melon.com/album/detail.htm?albumId=10880544
30위,ELEVEN,IVE (아이브),https://cdnimg.melon.co.kr/cm2/album/images/107/98/794/10798794_20211201113915_500.jpg,https://www.melon.com/album/detail.htm?albumId=10798794
31위,MY BAG,(여자)아이들,https://cdnimg.melon.co.kr/cm2/album/images/108/90/384/10890384_20220314111504_500.jpg,https://www.melon.com/album/detail.htm?albumId=10890384
32위,연애편지,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.melon.com/album/detail.htm?albumId=10923444
33위,인생찬가,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.melon.com/album/detail.htm?albumId=10923444
34위,사랑역,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.melon.com/album/detail.htm?albumId=10923444
35위,STAY,The Kid LAROI,https://cdnimg.melon.co.kr/cm2/album/images/106/46/395/10646395_20210707141710_500.jpg,https://www.melon.com/album/detail.htm?albumId=10646395
36위,내가 아니라도,주호,https://cdnimg.melon.co.kr/cm2/album/images/108/97/407/10897407_20220323150744_500.jpg,https://www.melon.com/album/detail.htm?albumId=10897407
37위,보금자리,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.melon.com/album/detail.htm?albumId=10923444
38위,사랑해요 그대를,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg,https://www.melon.com/album/detail.htm?albumId=10923444
39위,That's Hilarious,Charlie Puth,https://cdnimg.melon.co.kr/cm2/album/images/108/44/485/10844485_20220407163235_500.jpg,https://www.melon.com/album/detail.htm?albumId=10844485
40위,Weekend,태연 (TAEYEON),https://cdnimg.melon.co.kr/cm2/album/images/106/45/654/10645654_20210706155154_500.jpg,https://www.melon.com/album/detail.htm?albumId=10645654
41위,Next Level,aespa,https://cdnimg.melon.co.kr/cm2/album/images/106/09/232/10609232_20210517155130_500.jpg,https://www.melon.com/album/detail.htm?albumId=10609232
42위,너를 생각해,주시크 (Joosiq),https://cdnimg.melon.co.kr/cm2/album/images/107/16/399/10716399_20210916173429_500.jpg,https://www.melon.com/album/detail.htm?albumId=10716399
43위,Dynamite,방탄소년단,https://cdnimg.melon.co.kr/cm2/album/images/104/79/150/10479150_20200918102847_500.jpg,https://www.melon.com/album/detail.htm?albumId=10479150
44위,언제나 사랑해,케이시 (Kassy),https://cdnimg.melon.co.kr/cm2/album/images/108/57/681/10857681_20220204162442_500.jpg,https://www.melon.com/album/detail.htm?albumId=10857681
45위,SMILEY (Feat. BIBI),YENA (최예나),https://cdnimg.melon.co.kr/cm2/album/images/108/42/611/10842611_20220117110002_500.jpg,https://www.melon.com/album/detail.htm?albumId=10842611
46위,늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy),https://cdnimg.melon.co.kr/cm2/album/images/109/60/568/10960568_20220518153132_500.jpg,https://www.melon.com/album/detail.htm?albumId=10960568
47위,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,https://cdnimg.melon.co.kr/cm2/album/images/107/75/252/10775252_20211112142804_500.jpg,https://www.melon.com/album/detail.htm?albumId=10775252
48위,DON QUIXOTE,세븐틴,https://cdnimg.melon.co.kr/cm2/album/images/109/22/231/10922231_20220527120653_500.jpg,https://www.melon.com/album/detail.htm?albumId=10922231
49위,Butter,방탄소년단,https://cdnimg.melon.co.kr/cm2/album/images/106/12/483/10612483_20210521111412_500.jpg,https://www.melon.com/album/detail.htm?albumId=10612483
50위,너의 모든 순간,성시경,https://cdnimg.melon.co.kr/cm/album/images/022/32/505/2232505_500.jpg,https://www.melon.com/album/detail.htm?albumId=2232505
51위,드라마,아이유,https://cdnimg.melon.co.kr/cm2/album/images/108/27/816/10827816_20211229143632_500.jpg,https://www.melon.com/album/detail.htm?albumId=10827816
52위,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오),https://cdnimg.melon.co.kr/cm2/album/images/107/84/974/10784974_20211119152051_500.jpg,https://www.melon.com/album/detail.htm?albumId=10784974
53위,Domino,세븐틴,https://cdnimg.melon.co.kr/cm2/album/images/109/22/231/10922231_20220527120653_500.jpg,https://www.melon.com/album/detail.htm?albumId=10922231
54위,strawberry moon,아이유,https://cdnimg.melon.co.kr/cm2/album/images/107/43/453/10743453_20211018165252_500.jpg,https://www.melon.com/album/detail.htm?albumId=10743453
55위,아무래도 난,주시크 (Joosiq),https://cdnimg.melon.co.kr/cm2/album/images/109/03/658/10903658_20220329185034_500.jpg,https://www.melon.com/album/detail.htm?albumId=10903658
56위,버퍼링 (Glitch Mode),NCT DREAM,https://cdnimg.melon.co.kr/cm2/album/images/109/01/349/10901349_20220328124314_500.jpg,https://www.melon.com/album/detail.htm?albumId=10901349
57위,March,세븐틴,https://cdnimg.melon.co.kr/cm2/album/images/109/22/231/10922231_20220527120653_500.jpg,https://www.melon.com/album/detail.htm?albumId=10922231
58위,Permission to Dance,방탄소년단,https://cdnimg.melon.co.kr/cm2/album/images/106/48/182/10648182_20210709104950_500.jpg,https://www.melon.com/album/detail.htm?albumId=10648182
59위,Shadow,세븐틴,https://cdnimg.melon.co.kr/cm2/album/images/109/22/231/10922231_20220527120653_500.jpg,https://www.melon.com/album/detail.htm?albumId=10922231
60위,Seoul,볼빨간사춘기,https://cdnimg.melon.co.kr/cm2/album/images/109/26/502/10926502_20220420071020_500.jpg,https://www.melon.com/album/detail.htm?albumId=10926502
61위,RUN2U,STAYC(스테이씨),https://cdnimg.melon.co.kr/cm2/album/images/108/73/811/10873811_20220221141100_500.jpg,https://www.melon.com/album/detail.htm?albumId=10873811
62위,내 손을 잡아,아이유,https://cdnimg.melon.co.kr/cm/album/images/012/86/252/1286252_500.jpg,https://www.melon.com/album/detail.htm?albumId=1286252
63위,노래해,세븐틴,https://cdnimg.melon.co.kr/cm2/album/images/109/22/231/10922231_20220527120653_500.jpg,https://www.melon.com/album/detail.htm?albumId=10922231
64위,"스물다섯, 스물하나",자우림,https://cdnimg.melon.co.kr/cm/album/images/022/10/557/2210557_500.jpg,https://www.melon.com/album/detail.htm?albumId=2210557
65위,바라만 본다,MSG워너비(M.O.M),https://cdnimg.melon.co.kr/cm2/album/images/106/38/275/10638275_20210625172521_500.jpg,https://www.melon.com/album/detail.htm?albumId=10638275
66위,라일락,아이유,https://cdnimg.melon.co.kr/cm2/album/images/105/54/246/10554246_20210325161233_500.jpg,https://www.melon.com/album/detail.htm?albumId=10554246
67위,OHAYO MY NIGHT,디핵 (D-Hack),https://cdnimg.melon.co.kr/cm2/album/images/104/47/520/10447520_20200619123343_500.jpg,https://www.melon.com/album/detail.htm?albumId=10447520
68위,호랑수월가,탑현,https://cdnimg.melon.co.kr/cm2/album/images/108/42/005/10842005_20220114144240_500.jpg,https://www.melon.com/album/detail.htm?albumId=10842005
69위,IF you leave me,세븐틴,https://cdnimg.melon.co.kr/cm2/album/images/109/22/231/10922231_20220527120653_500.jpg,https://www.melon.com/album/detail.htm?albumId=10922231
70위,눈이 오잖아(Feat.헤이즈),이무진,https://cdnimg.melon.co.kr/cm2/album/images/108/01/677/10801677_20211202181813_500.jpg,https://www.melon.com/album/detail.htm?albumId=10801677
71위,Celeb,싸이 (PSY),https://cdnimg.melon.co.kr/cm2/album/images/109/37/474/10937474_20220428225312_500.jpg,https://www.melon.com/album/detail.htm?albumId=10937474
72위,마지막 인사 (To My First),NCT DREAM,https://cdnimg.melon.co.kr/cm2/album/images/109/69/893/10969893_20220530105316_500.jpg,https://www.melon.com/album/detail.htm?albumId=10969893
73위,미친 것처럼,V.O.S,https://cdnimg.melon.co.kr/cm2/album/images/109/54/134/10954134_20220513160759_500.jpg,https://www.melon.com/album/detail.htm?albumId=10954134
74위,Ash,세븐틴,https://cdnimg.melon.co.kr/cm2/album/images/109/22/231/10922231_20220527120653_500.jpg,https://www.melon.com/album/detail.htm?albumId=10922231
75위,Counting Stars (Feat. Beenzino),BE'O (비오),https://cdnimg.melon.co.kr/cm2/album/images/108/10/162/10810162_20211210171704_500.jpg,https://www.melon.com/album/detail.htm?albumId=10810162
76위,With you,지민,https://cdnimg.melon.co.kr/cm2/album/images/109/29/466/10929466_20220422145303_500.jpg,https://www.melon.com/album/detail.htm?albumId=10929466
77위,Bad Habits,Ed Sheeran,https://cdnimg.melon.co.kr/cm2/album/images/106/37/411/10637411_20220526171931_500.jpg,https://www.melon.com/album/detail.htm?albumId=10637411
78위,Celebrity,아이유,https://cdnimg.melon.co.kr/cm2/album/images/105/54/246/10554246_20210325161233_500.jpg,https://www.melon.com/album/detail.htm?albumId=10554246
79위,Step Back,GOT the beat,https://cdnimg.melon.co.kr/cm2/album/images/108/30/791/10830791_20220103153352_500.jpg,https://www.melon.com/album/detail.htm?albumId=10830791
80위,Savage,aespa,https://cdnimg.melon.co.kr/cm2/album/images/107/31/792/10731792_20211005145407_500.jpg,https://www.melon.com/album/detail.htm?albumId=10731792
81위,Off My Face,Justin Bieber,https://cdnimg.melon.co.kr/cm2/album/images/105/80/103/10580103_20211008114642_500.jpg,https://www.melon.com/album/detail.htm?albumId=10580103
82위,밤하늘의 별을(2020),경서,https://cdnimg.melon.co.kr/cm2/album/images/105/18/234/10518234_20210216102853_500.jpg,https://www.melon.com/album/detail.htm?albumId=10518234
83위,고백,멜로망스,https://cdnimg.melon.co.kr/cm2/album/images/106/95/590/10695590_20210827162225_500.jpg,https://www.melon.com/album/detail.htm?albumId=10695590
84위,문득,BE'O (비오),https://cdnimg.melon.co.kr/cm2/album/images/106/01/149/10601149_20210430171555_500.jpg,https://www.melon.com/album/detail.htm?albumId=10601149
85위,팡파레,다비치,https://cdnimg.melon.co.kr/cm2/album/images/109/55/743/10955743_20220516141152_500.jpg,https://www.melon.com/album/detail.htm?albumId=10955743
86위,봄날,방탄소년단,https://cdnimg.melon.co.kr/cm/album/images/100/37/969/10037969_500.jpg,https://www.melon.com/album/detail.htm?albumId=10037969
87위,Blueming,아이유,https://cdnimg.melon.co.kr/cm2/album/images/103/46/650/10346650_500.jpg,https://www.melon.com/album/detail.htm?albumId=10346650
88위,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,https://cdnimg.melon.co.kr/cm2/album/images/105/80/227/10580227_20210319163608_500.jpg,https://www.melon.com/album/detail.htm?albumId=10580227
89위,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,https://cdnimg.melon.co.kr/cm/album/images/101/49/492/10149492_500.jpg,https://www.melon.com/album/detail.htm?albumId=10149492
90위,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB),https://cdnimg.melon.co.kr/cm2/album/images/107/16/174/10716174_20210916153439_500.jpg,https://www.melon.com/album/detail.htm?albumId=10716174
91위,존재만으로,원슈타인,https://cdnimg.melon.co.kr/cm2/album/images/108/80/569/10880569_20220225143552_500.jpg,https://www.melon.com/album/detail.htm?albumId=10880569
92위,롤린 (Rollin'),브레이브걸스,https://cdnimg.melon.co.kr/cm2/album/images/100/43/575/10043575_20210302112520_500.jpg,https://www.melon.com/album/detail.htm?albumId=10043575
93위,"Sorry, Heart",NCT DREAM,https://cdnimg.melon.co.kr/cm2/album/images/109/69/893/10969893_20220530105316_500.jpg,https://www.melon.com/album/detail.htm?albumId=10969893
94위,사랑인걸,한동근,https://cdnimg.melon.co.kr/cm2/album/images/108/90/071/10890071_20220311145628_500.jpg,https://www.melon.com/album/detail.htm?albumId=10890071
95위,My Universe,Coldplay,https://cdnimg.melon.co.kr/cm2/album/images/107/20/913/10720913_20210923173742_500.jpg,https://www.melon.com/album/detail.htm?albumId=10720913
96위,Dun Dun Dance,오마이걸 (OH MY GIRL),https://cdnimg.melon.co.kr/cm2/album/images/106/04/729/10604729_20210510143932_500.jpg,https://www.melon.com/album/detail.htm?albumId=10604729
97위,헤픈 우연,헤이즈 (Heize),https://cdnimg.melon.co.kr/cm2/album/images/106/11/845/10611845_20210520170350_500.jpg,https://www.melon.com/album/detail.htm?albumId=10611845
98위,초대,멜로망스,https://cdnimg.melon.co.kr/cm2/album/images/109/40/426/10940426_20220503100932_500.jpg,https://www.melon.com/album/detail.htm?albumId=10940426
99위,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),https://cdnimg.melon.co.kr/cm2/album/images/103/31/947/10331947_500.jpg,https://www.melon.com/album/detail.htm?albumId=10331947
100위,별 밤 (On the way),NCT DREAM,https://cdnimg.melon.co.kr/cm2/album/images/109/69/893/10969893_20220530105316_500.jpg,https://www.melon.com/album/detail.htm?albumId=10969893
